	show_name	D614G_IC50	SARS_IC50	Omicron_IC50	R346K_IC50	BA2_IC50	BA2_12_1_IC50	BA2_13_IC50	BA3_IC50	BA4_IC50	pangolin_GD_IC50	RaTG13_IC50	D614G_L452M_IC50	D614G_L452R_IC50	D614G_L452Q_IC50	SARS_ELISA	Omicron_ELISA	SARS_ELISA_300ng	RaTG13_300ng	pangolin_GD_300ng	pangolin_GX_300ng	PC4_127_300ng	sin852_300ng	WIV1_300ng	LYRa11_300ng	RS7327_300ng	GZ_C_300ng	Urbani_300ng	RS4231_300ng	RS4247_300ng	BM48_31_300ng	BtKY72_300ng	SHAANXI2011_300ng	YN2013_300ng	RP3_300ng	ZC45_300ng	Anlong112_300ng	SC2018_300ng	ZXC21_300ng	ELISA_3ug_compete	ELISA_150ng_compete	ELISA_compete_level
BD55-5457	BD55-5457	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.168	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5459	BD55-5459	0.060967	0.00281777	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0127943	Inf*	--	--	--	3	0	2.63	0.06	2.22	0.3	3.18	3.22	3.15	3.443	3.361	3.475	3.474	2.452	0.072	3.2	3.23	0.04	0.05	0.126	0.043	0.044	0.065	0.066	1.836	3.481	0.472565355
BD55-5462	BD55-5462	0.00494638	0.00285506	Inf	Inf	0.0451735	0.0630812	0.0492663	Inf	1.873262	0.0147463	37.802	--	--	--	3	0	3.02	0.26	2.19	0.14	2.55	3.29	3.29	3.314	3.196	3.404	3.463	0.094	0.079	0.05	0.05	0.05	0.05	0.123	0.043	0.046	0.065	0.068	1.099	3.507	0.686626747
BD55-5463	BD55-5463	0.038668	0.00193205	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00465901	0.0116583	--	--	--	3	0	3.01	1.69	2.53	2.25	3.05	3.2	3.22	3.383	3.192	3.488	3.437	1.083	0.128	3.21	1.4	0.06	0.12	0.156	0.091	0.111	0.136	0.132	0.843	3.287	0.743535138
BD55-5466	BD55-5466	0.269301	0.00225092	1.025	1.52457	5.97466	4.902717	4.34723	1.9921	4.527715	0.0148215	Inf*	--	--	--	3	2	2.93	0.54	3.07	0.35	3.17	3.34	3.24	3.4	3.133	3.477	3.416	0.141	0.077	0.07	2.36	0.05	0.06	0.124	0.041	0.047	0.054	0.072	2.076	3.454	0.39895773
BD55-5467	BD55-5467	2.3416	0.0145715	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	--	--	--	--	--	3	0	3.475	3.362	3.577	1.917	3.559	3.495	3.54	3.304	3.362	1.86	3.459	3.184	2.937	1.242	1.024	3.469	2.864	3.275	2.19	3.018	3.09	2.022	1.708	3.457	0.505929997
BD55-5468	BD55-5468	1.4348	0.00384575	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.221776	Inf	--	--	--	3	2	3.38	0.52	2.66	0.4	2.63	3.17	2.9	3.096	2.814	3.365	3.44	0.232	0.208	0.37	1.42	0.56	0.17	0.179	0.243	0.355	0.387	0.273	3.231	3.326	0.028562838
BD55-5470	BD55-5470	0.560752	0.155741	Inf	9.86139	Inf	Inf*	Inf*	Inf	Inf*	12.7662	Inf	--	--	--	3	2	3.67	2.33	2.57	2.42	3.29	3.03	2.65	3.464	3.405	3.413	3.394	3.169	3.374	1.81	2.72	3.12	3.11	2.746	3.365	3.293	3.319	3.004	3.387	3.4	0.003823529
BD55-5471	BD55-5471	Inf	1.68427	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.25	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.384	3.416	0.009367681
BD55-5472	BD55-5472	0.10759	0.00313721	0.512459	0.224517	0.7323	0.527383	0.789123	0.3912	0.699631	0.0153583	0.00201768	--	--	--	3	2	3.24	3.13	2.46	0.24	3.14	3.29	3.3	3.369	3.265	3.433	3.376	2.756	0.136	3.05	2.74	0.06	0.06	0.226	0.051	0.058	0.079	0.087	0.936	3.47	0.730259366
BD55-5473	BD55-5473	0.66356	0.00200136	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.05	0.06	1.15	1.12	2.99	3.02	0.1	0.067	0.078	3.444	3.398	0.06	0.085	0.05	0.05	0.05	0.05	0.128	0.044	0.053	0.063	0.066	3.461	3.471	0.002881014
BD55-5474	BD55-5474	0.412778	0.0439687	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.066616	0.00849474	--	--	--	3	2	3.08	3.17	2.2	2.53	3.03	3.04	3.28	3.392	3.23	3.494	3.374	2.971	0.127	2.13	3.22	0.08	0.08	0.168	0.066	0.111	0.174	0.12	1.765	3.444	0.487514518
BD55-5476	BD55-5476	Inf	0.357172	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.488	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.477	3.485	0.002295552
BD55-5477	BD55-5477	0.00157798	0.0159336	0.0211854	0.0457998	0.055874	0.03584	0.0493002	0.0651	0.0541095	22.0128	2.07747	--	--	--	3	2	3.08	1.53	2.5	0.1	3.12	2.69	3.02	0.053	0.09	0.27	0.046	0.054	0.09	0.06	0.15	0.05	0.09	0.185	0.043	0.044	0.047	0.063	3.445	3.516	0.020193402
BD55-5483	BD55-5483	0.0138198	0.00580886	0.00646924	0.00519205	0.0133165	0.00828534	0.00805106	0.0068128	0.01395524	0.00786006	Inf	--	--	--	2	2	3.22	0.27	2.83	0.37	3.14	3.19	3.13	3.434	3.111	3.432	3.376	2.154	0.502	3.09	3.14	0.2	0.15	0.46	0.523	0.601	0.816	0.485	0.549	3.454	0.841053851
BD55-5484	BD55-5484	0.00140105	0.00222406	0.0031855	0.00231753	0.0109884	0.00465952	0.010698088	0.004761726	0.00570084	1.17288	Inf	--	--	--	2	2	3.1	0.765	3.068	0.074	3.406	3.072	3.169	2.882	2.96	3.277	3.249	0.071	0.096	0.08	0.22	0.187	0.203	0.13	0.099	0.182	0.112	0.153	2.709	3.237	0.163113994
BD55-5485	BD55-5485	Inf	0.327706	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.229	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.447	3.504	0.016267123
BD55-5486	BD55-5486	0.381042	0.0318907	Inf	Inf	--	Inf	--	--	--	0.0362922	0.00729979	--	--	--	3	0	2.65	3.14	2.63	2.82	3.14	3.24	3.3	--	--	--	--	--	--	2.38	3.24	0.22	1.32	--	--	--	--	--	--	--	--
BD55-5493	BD55-5493	0.119165	0.0283906	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.176472	0.00195869	--	--	--	3	2	3.69	3.012	3.235	3.044	3.399	3.321	3.292	3.18	3.333	3.105	3.31	3.074	0.046	0.062	2.55	0.048	0.047	0.052	0.128	0.053	0.062	0.129	0.78	3.435	0.772925764
BD55-5495	BD55-5495	1.31475	0.559429	Inf	Inf	Inf	Inf	Inf	Inf	Inf	27.6867	0.0126615	--	--	--	3	2	3.42	3.41	2.28	3.1	3.14	3.04	2.9	2.918	3.07	3.369	3.406	3.094	2.868	3.33	3.02	3.28	3.16	2.779	3.371	3.272	3.341	2.935	3.487	3.48	-0.002011494
BD55-5497	BD55-5497	0.46845	0.0348677	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.245565	0.00211895	--	--	--	3	2	2.94	3.311	3.345	3.401	3.476	3.405	3.424	3.276	3.405	3.279	3.411	3.398	3.289	1.11	3.117	3.396	3.412	3.374	3.151	3.395	3.378	3.103	0.356	3.48	0.897701149
BD55-5501	BD55-5501	0.0228002	0.0230296	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	33.0123	2.33173	--	--	--	2	0	4	0.4	2.63	0.31	2.3	1.28	2.65	3.038	2.839	3.015	3.354	0.119	0.223	0.27	0.22	0.22	0.2	0.222	0.365	0.23	0.236	0.451	3.293	3.344	0.015251196
BD55-5502	BD55-5502	Inf	3.68941	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.523	3.391	3.436	2.724	3.603	3.495	3.48	2.074	3.386	2.508	3.425	3.186	1.607	3.421	3.46	2.479	1.839	2.75	0.341	0.659	0.935	0.646	3.425	3.424	-0.000292056
BD55-5505	BD55-5505	Inf	0.138266	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.332	3.044	3.448	3.066	3.526	3.428	3.559	3.197	3.153	2.663	3.499	3.176	0.166	0.219	3.512	0.553	0.23	0.331	3.099	0.129	0.268	2.569	3.493	3.521	0.007952286
BD55-5512	BD55-5512	0.031614	0.00578331	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0255477	0.00176423	--	--	--	2	0	3.29	2.96	2.4	2.97	3.17	2.96	3.27	3.403	3.332	3.48	3.42	3.055	0.196	0.14	0.3	0.15	0.2	0.306	1.014	0.136	0.267	0.156	0.726	3.516	0.793515358
BD55-5514	BD55-5514	0.0106766	0.0044082	0.00169229	0.00301841	0.00723	0.00517656	0.00593	0.00712688	0.00503855	0.0057	0.0375311	--	--	--	3	2	2.97	2.4	3.18	0.09	3.12	3.13	3.28	3.442	3.342	3.481	3.524	2.396	0.078	2.88	3.08	0.05	0.08	0.132	0.048	0.045	0.159	0.07	0.549	3.431	0.839988342
BD55-5516	BD55-5516	0.0556775	0.0331882	0.366509	0.528924	--	Inf	--	--	--	0.044107	0.00737099	--	--	--	3	2	2.85	3.17	2.62	3.1	3.03	3.05	3.13	--	--	--	--	--	--	3.16	3.09	3.3	3.18	--	--	--	--	--	--	--	--
BD55-5517	BD55-5517	2.15669	--	--	--	--	7.45018	--	--	--	--	--	--	--	--	3	2	3.427	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5519	BD55-5519	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.123	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5521	BD55-5521	0.0807024	0.0398124	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0173256	0.00452175	--	--	--	2	2	3.02	3.14	2.64	2.82	3	3.05	2.82	3.438	3.234	3.492	3.479	3.053	3.298	3.1	3.06	3.24	2.9	3.179	3.325	3.31	3.402	3.02	0.499	3.465	0.855988456
BD55-5524	BD55-5524	Inf	0.0162734	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.514	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.399	3.501	0.029134533
BD55-5526	BD55-5526	Inf	0.09449	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	0	3.389	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1.297	3.51	0.63048433
BD55-5530	BD55-5530	0.00171609	0.00164694	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00518153	0.0760287	--	--	--	3	0	3.23	0.19	2.36	1.82	2.86	3.27	3.21	3.356	3.211	3.466	3.541	1.483	0.176	2.6	0.21	0.07	0.06	0.209	0.099	0.145	0.24	0.138	0.363	3.309	0.890299184
BD55-5537	BD55-5537	0.087978	0.0126592	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0544813	0.00365248	--	--	--	2	2	3.1	3.14	2.27	3.26	3.06	3.3	2.96	3.41	3.3	3.475	3.478	2.876	1.335	0.09	2.92	1	1.64	0.903	2.014	2.31	2.364	1.241	0.606	3.419	0.822755192
BD55-5540	BD55-5540	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.352	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5542	BD55-5542	0.516973	0.0202583	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.785513	Inf*	--	--	--	2	0	3.07	0.15	1.87	0.4	3.12	2.74	2.98	3.39	3.185	3.454	3.449	0.152	0.122	2.05	2.39	0.12	0.09	0.154	0.083	0.146	0.163	0.117	3.443	3.519	0.021597045
BD55-5543	BD55-5543	0.0852012	0.0110351	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0472136	Inf*	--	--	--	3	0	3.29	0.14	2.17	0.46	3.18	3.21	3.23	3.284	3.024	3.429	3.449	0.107	0.18	0.21	0.17	0.16	0.11	0.138	0.078	0.164	0.181	0.21	1.261	3.356	0.624255066
BD55-5545	BD55-5545	1.2095	0.468101	8.1638	11.3936	8.3231	9.09979	7.45548	5.9123	6.856054	16.0808	Inf	--	--	--	3	2	3.57	2.89	3.11	2.73	3.15	3.02	3.1	3.324	3.273	3.54	3.382	0.049	2.978	2.97	3.2	1.42	3.21	1.47	3.337	3.319	3.372	2.789	3.407	3.442	0.010168507
BD55-5549	BD55-5549	0.00109659	0.0243054	0.0265203	0.0141086	0.0575536	0.0219587	0.0220298	0.030912	0.0217193	Inf	Inf	--	--	--	3	2	3.1	0.39	1.98	0.87	3.11	3.05	2.03	2.423	2.68	3.481	3.44	0.445	0.411	0.57	0.81	0.42	0.32	0.33	0.298	0.481	0.608	0.353	3.448	3.399	-0.014416005
BD55-5550	BD55-5550	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.457	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5551	BD55-5551	Inf	0.197699	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.423	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.343	3.383	0.011823825
BD55-5555	BD55-5555	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.493	3.521	3.449	3.059	3.476	3.482	3.514	3.511	3.455	2.423	3.495	3.332	3.332	3.434	3.516	3.431	3.367	3.346	2.917	3.101	3.329	2.893	3.478	3.524	0.013053348
BD55-5557	BD55-5557	1.58298	0.0717723	6.0361	8.21625	8.53444	9.12501	7.52682	5.9123	6.18116	0.217969	0.0079305	--	--	--	3	2	3.08	3.18	2.65	3.1	3.26	3.23	3.31	3.469	3.349	3.554	3.474	3.248	3.434	3	3.19	3.35	3.39	3.215	3.403	3.337	3.408	3.37	0.794	3.499	0.773078022
BD55-5558	BD55-5558	0.0156595	0.00397136	0.0160073	0.0124854	Inf	Inf	Inf	Inf	Inf	0.0134183	0.00185076	--	--	--	3	2	2.79	2.97	2.93	1.58	3.21	3.08	3.14	3.455	3.274	3.525	3.463	2.975	0.076	3.08	3.09	0.05	0.05	0.146	0.047	0.044	0.154	0.074	0.955	3.504	0.727454338
BD55-5564	BD55-5564	0.245749	0.0258233	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0890368	0.00217608	--	--	--	2	2	3.19	1.29	2.7	0.81	3.35	2.99	3.17	3.433	3.281	3.507	3.448	3.089	0.082	0.51	3.1	0.05	0.05	0.124	0.044	0.049	0.087	0.078	2.11	3.46	0.39017341
BD55-5565	BD55-5565	0.108335	0.00780236	Inf	Inf	--	Inf	--	--	--	0.715341	Inf*	--	--	--	3	0	3.35	0.17	2.33	0.31	3.16	3.32	3.02	--	--	--	--	--	--	0.36	0.18	0.13	0.12	--	--	--	--	--	--	--	--
BD55-5566	BD55-5566	0.0925165	0.00642325	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.00987685	Inf*	--	--	--	3	0	2.72	0.1	2.45	0.08	2.42	3.14	3.09	3.331	3.231	3.469	3.428	0.074	0.088	0.1	0.11	0.08	0.07	0.137	0.058	0.066	0.078	0.105	2.998	3.444	0.129500581
BD55-5568	BD55-5568	0.25717	0.0205422	1.2836	1.96888	1.75981	1.75987	1.770472	2.9192	1.87293	2.61123	0.00357675	--	--	--	3	2	3.03	3.367	3.361	3.392	3.469	3.372	3.464	3.381	3.38	3.384	3.377	3.37	3.413	3.223	3.267	3.4	3.388	3.269	3.276	3.452	3.391	3.398	3.355	3.405	0.014684288
BD55-5569	BD55-5569	Inf	0.511334	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.441	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.425	3.398	-0.007945851
BD55-5575	BD55-5575	Inf	0.239316	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.396	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.428	3.41	-0.005278592
BD55-5577	BD55-5577	Inf	0.931145	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.466	3.525	3.484	3.042	3.491	3.542	3.509	3.374	3.234	2.888	3.425	3.051	3.253	3.074	3.5	3.381	3.48	3.364	2.581	2.921	3.277	2.461	3.509	3.495	-0.004005722
BD55-5579	BD55-5579	Inf	0.20824	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.388	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.341	3.446	0.03047011
BD55-5580	BD55-5580	0.0360704	0.0658916	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.107005	0.207204	--	--	--	3	2	3.76	1.85	2.55	1.94	2.59	2.69	2.7	3.131	2.752	3.505	3.435	0.978	0.62	2.26	2.22	1.41	0.59	0.477	0.569	0.842	0.886	0.646	3.147	3.477	0.094909405
BD55-5581	BD55-5581	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.379	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3.263	3.291	0.008508052
BD55-5583	BD55-5583	0.125135	0.0266526	1.26918	0.999574	1.65742	1.660233	1.736196	2.91	1.46551	0.134426	Inf	--	--	--	2	2	3.27	3.32	2.74	3.2	3.11	3.28	3.07	3.397	3.264	3.483	3.426	3.081	3.284	2.75	3.25	3.28	3.33	3.054	3.447	3.385	3.459	3.262	3.323	3.349	0.007763511
BD55-5585	BD55-5585	0.002134	0.00645056	0.0132269	0.00479672	0.163755	0.13542	0.1557068	0.21828	0.151306	2.09986	Inf	--	--	--	2	2	3.4	0.68	1.43	0.6	2.99	2.99	0.48	0.784	0.868	3.452	3.376	0.189	0.25	0.45	0.24	0.24	0.51	0.236	0.187	0.271	0.359	0.333	3.349	3.422	0.021332554
BD55-5588	BD55-5588	0.0636182	0.0044134	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.058019	Inf*	--	--	--	3	0	2.96	0.08	2.98	0.12	3.1	3.12	3.27	3.439	3.274	3.412	3.506	2.974	0.086	2.95	3.26	0.06	0.06	0.14	0.056	0.06	0.128	0.097	3.123	3.47	0.1
BD55-5589	BD55-5589	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.363	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5591	BD55-5591	0.00177847	0.0103732	0.00316216	0.00293	0.0142818	0.00912536	0.0133797	0.0118273	0.00990659	Inf	Inf	--	--	--	2	2	3.41	0.06	1.53	0.3	3.21	2.93	0.3	2.132	1.859	3.439	3.434	0.079	0.097	0.14	0.07	0.07	0.09	0.14	0.064	0.077	0.162	0.125	3.48	3.478	-0.000575043
BD55-5593	BD55-5593	2.47302	0.0110993	3.0941	3.479026	2.9912	4.12468	3.04271	3.9541	3.325889	--	Inf*	--	--	--	3	0	3.422	0.096	3.482	1.988	3.536	3.479	3.486	3.23	3.342	2.027	3.442	2.823	0.118	1.049	3.447	0.139	0.066	0.127	0.093	0.085	0.101	0.061	2.808	3.479	0.192871515
BD55-5594	BD55-5594	0.0372501	0.0150865	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0217105	0.00609186	--	--	--	3	2	2.88	3.11	2.18	2.61	3.07	3.07	3.28	3.373	3.29	3.472	3.522	3.11	0.423	0.13	3.16	0.75	0.24	0.168	1.668	0.584	0.836	0.905	0.74	3.494	0.788208357
BD55-5598	BD55-5598	2.25031	--	--	--	--	2.59166	--	--	--	--	--	--	--	--	3	2	3.415	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5609	BD55-5609	0.793194	0.09119	1.07307	1.74175	--	1.597382	--	--	--	4.05323	0.00536913	--	--	--	2	2	3.5	3.12	2.75	3.14	3.15	2.85	3.15	--	--	--	--	--	--	1.85	3	3.4	3.36	--	--	--	--	--	--	--	--
BD55-5610	BD55-5610	0.906347	0.0272972	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.119369	0.00424925	--	--	--	3	2	3.1	3.35	2.74	3.19	3.19	3.16	3.2	3.434	3.267	3.464	3.499	3.145	3.174	0.46	3	3.35	3.32	3.062	3.395	3.354	3.42	3.284	2.39	3.494	0.315970235
BD55-5612	BD55-5612	0.0026203	0.0100326	0.245741	0.584601	0.658086	0.5438636	0.714997	0.6923	0.931136	Inf*	Inf*	--	--	--	3	2	3.15	0.25	1.59	0.34	3.07	2.87	0.76	0.236	0.224	3.414	3.439	0.098	0.099	0.18	0.41	0.27	0.22	0.145	0.07	0.083	0.124	0.118	3.392	3.454	0.017950203
BD55-5615	BD55-5615	0.0253993	0.00542576	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.020608	Inf	--	--	--	3	2	2.93	0.72	2.69	0.36	3.14	3.22	3.2	3.236	2.926	3.443	3.438	3.054	0.136	3.28	3.17	0.06	0.08	0.146	0.077	0.102	0.186	0.203	1.556	3.348	0.535244922
BD55-5617	BD55-5617	Inf	0.0314844	Inf*	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.368508	Inf	--	--	--	3	2	2.579	1.836	2.767	1.577	3.33	2.751	3.018	3.106	2.99	2.558	2.997	0.735	1.364	1.769	2.937	2.45	2.234	1.176	1.036	1.933	1.755	0.933	3.311	3.41	0.029032258
BD55-5620	BD55-5620	0.0416431	0.016872	Inf	Inf	--	Inf	--	--	--	0.01717	0.00521998	--	--	--	3	2	3.13	2.26	2.54	2.28	3.23	3.06	3.33	--	--	--	--	--	--	3.22	3.06	2.02	2.97	--	--	--	--	--	--	--	--
BD55-5623	BD55-5623	Inf	Inf	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.525	3.548	3.469	3.079	3.502	3.469	3.511	3.471	3.451	2.81	3.511	3.379	3.399	0.066	3.529	3.47	3.547	3.415	3.247	3.309	3.442	2.773	3.342	3.366	0.007130125
BD55-5625	BD55-5625	1.65491	0.116367	3.54113	3.00544	5.47314	4.62393	3.06585	1.912983	1.01843	2.20199	Inf	--	--	--	2	2	3.65	3.22	2.71	3.15	3.01	3.14	3.19	3.284	3.118	3.418	3.359	0.361	2.664	0.08	2.87	2.78	3.08	1.317	3.129	3.279	2.87	2.21	3.407	3.418	0.003218256
BD55-5629	BD55-5629	0.0145985	0.0136822	0.233355	0.0583841	3.87475	3.45186	3.49438	1.992	5.49438	0.0124028	0.329366	--	--	--	2	2	3	1.37	3.02	0.55	3.12	3.18	3.15	3.348	3.287	3.405	3.419	3.114	0.676	2.97	3.29	0.33	0.43	0.334	0.654	0.854	0.921	0.599	1.322	3.359	0.606430485
BD55-5630	BD55-5630	1.22204	0.227685	1.7954	1.03277	0.658565	1.69649	1.7078	0.99129	2.21892	0.380404	0.408461	--	--	--	3	2	2.95	2.67	3.12	2.59	3.23	3.1	3.41	3.314	3.221	3.424	3.349	1.449	2.935	2.46	3.13	1.57	2.95	1.562	3.326	3.25	3.358	2.846	3.377	3.376	-0.000296209
BD55-5634	BD55-5634	0.00092392	0.753553	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0165446	Inf*	--	--	--	2	0	3.24	0.31	2.87	0.63	0.97	0.78	0.95	1.452	1.19	1.732	1.666	0.233	0.382	0.31	0.74	0.25	0.38	0.235	0.366	0.398	0.581	0.462	0.302	3.394	0.911019446
BD55-5636	BD55-5636	Inf	0.908328	Inf	Inf*	Inf*	Inf*	Inf*	Inf	Inf*	Inf*	Inf*	--	--	--	3	2	3.482	3.553	3.457	3.077	3.49	3.462	3.519	3.481	3.409	2.75	3.464	3.294	3.428	3.418	3.511	3.475	3.545	3.505	3.109	3.331	3.423	2.959	3.394	3.397	0.000883132
BD55-5638	BD55-5638	0.472885	0.0395126	Inf	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0979451	0.012922	--	--	--	3	2	2.92	3.101	3.157	3.052	3.345	3.242	3.409	3.18	3.276	3.265	3.262	3.1	2.849	0.421	3.06	3.165	3.105	3.103	2.756	3.304	3.101	2.832	1.185	3.533	0.664590999
BD55-5640	BD55-5640	0.0142748	0.0142509	0.0692172	0.0793447	Inf	Inf	Inf	Inf	Inf*	0.0182879	0.00245056	--	--	--	3	2	2.76	3.05	2.34	3.16	3.17	3.26	3.35	3.283	3.145	3.433	3.337	3.165	3.212	2.21	3.19	3.18	3.41	3.05	3.446	3.384	3.419	3.047	3.382	3.402	0.005878895
BD55-5643	BD55-5643	0.00123776	0.00211927	1.90369	Inf	--	2.24292	--	--	--	Inf	Inf*	--	--	--	2	2	3.47	0.18	1.8	0.1	2.97	3.26	2.63	--	--	--	--	--	--	0.05	0.11	0.05	0.05	--	--	--	--	--	--	--	--
BD55-5644	BD55-5644	0.76242	0.00298107	3.506235	2.11458	8.982	4.07499	4.713	5.58238	7.20597	Inf	Inf*	--	--	--	2	0	3.09	0.25	1.33	0.23	2.68	2.65	1.15	3.184	3.051	3.411	3.399	0.092	0.187	0.13	0.13	0.13	0.11	0.149	0.162	0.115	0.163	0.256	3.331	3.402	0.020870076
BD55-5647	BD55-5647	Inf	--	Inf*	Inf*	Inf*	Inf	--	--	--	Inf*	Inf*	--	--	--	3	2	3.184	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
BD55-5649	BD55-5649	0.0252351	0.035314	0.158945	0.209458	2.33962	1.705482	1.73971	1.0192	2.189111	0.0112562	0.00319771	--	--	--	3	2	3.18	3.24	2.28	1.22	3.1	3.09	3.33	3.226	3.012	3.342	3.338	2.963	1.858	2.31	3.19	0.16	0.14	0.514	0.221	0.224	2.33	0.343	0.876	3.311	0.735427363
BD55-5655	BD55-5655	0.00639066	Inf	Inf*	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0691731	Inf*	--	--	--	1	0	1.3	0.19	2.33	0.37	1.11	0.82	1.37	1.492	1.383	2.024	2.135	0.152	0.339	0.24	0.19	0.2	0.21	0.244	0.165	0.216	0.31	0.354	1.214	3.448	0.647911833
BD55-5662	BD55-5662	0.102882	0.0127014	3.19817	Inf	Inf	Inf*	Inf*	Inf	Inf*	0.0827239	0.00469363	--	--	--	3	0	2.97	2.98	2.98	1.74	3.16	3.21	3.34	3.282	3.228	3.489	3.49	3.24	0.692	1.65	3.22	0.14	0.16	0.469	0.125	0.04	0.786	0.148	1.105	3.3	0.665151515
